epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,24438.8,1.23779,0.85565,0.00588,0.86277,0.79752,0.8914,0.61705,1.16845,0.70619,0.00794,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,25407.5,1.22748,0.85588,0.006,0.86192,0.79877,0.89073,0.61729,1.16586,0.70562,0.0079,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,26368.7,1.22851,0.84922,0.00579,0.86237,0.79863,0.89114,0.61768,1.16635,0.70403,0.0079,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,27364.8,1.22055,0.84694,0.00588,0.86492,0.79999,0.8927,0.61938,1.16531,0.69935,0.0079,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,28318.3,1.21935,0.83029,0.00579,0.86477,0.80217,0.89368,0.6211,1.16407,0.69342,0.00786,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,29274.3,1.21766,0.83683,0.00582,0.86433,0.80088,0.89341,0.62129,1.16081,0.69417,0.00783,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,30248.2,1.21472,0.83828,0.00574,0.86746,0.8,0.89361,0.62244,1.15781,0.69332,0.00779,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,31248.1,1.21488,0.82972,0.00584,0.86651,0.80156,0.89474,0.62302,1.15906,0.69029,0.00781,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,32202.1,1.20722,0.82064,0.00575,0.86754,0.80331,0.89558,0.62378,1.15817,0.68609,0.00779,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,33220,1.21207,0.83009,0.00576,0.87012,0.80097,0.89568,0.62491,1.15562,0.6859,0.00778,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,34225.4,1.20923,0.82228,0.0057,0.87027,0.79978,0.89512,0.62522,1.15492,0.68548,0.00777,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,35244.7,1.20739,0.81507,0.00574,0.86932,0.80314,0.89624,0.62602,1.15437,0.68233,0.00777,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,36294.6,1.21246,0.81642,0.00566,0.87227,0.80228,0.8967,0.62624,1.15497,0.68149,0.00779,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,37248.2,1.21585,0.81354,0.00566,0.87236,0.80292,0.89741,0.62731,1.15339,0.67783,0.00775,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,38207.7,1.19,0.79807,0.00565,0.87327,0.80284,0.89757,0.62778,1.15281,0.67636,0.00772,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,39160.8,1.18591,0.80035,0.00566,0.87326,0.80453,0.89806,0.62849,1.15075,0.674,0.0077,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,40156.4,1.20126,0.80229,0.00563,0.87288,0.80467,0.89829,0.62837,1.1514,0.67392,0.0077,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,41201.7,1.19481,0.80191,0.00556,0.87377,0.8055,0.89863,0.62862,1.15127,0.67228,0.0077,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,42187.5,1.19729,0.7937,0.00552,0.87259,0.80652,0.89845,0.62909,1.1493,0.67344,0.00769,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1141.41,1.16799,0.76856,0.00543,0.87369,0.8053,0.89906,0.62982,1.14909,0.67081,0.00765,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2131.35,1.18424,0.79062,0.0055,0.87315,0.80747,0.89945,0.63014,1.14732,0.6695,0.00763,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3111.81,1.17477,0.77547,0.00542,0.87387,0.80716,0.89991,0.63105,1.14685,0.66792,0.00763,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4068.97,1.17361,0.7839,0.00551,0.87434,0.80782,0.90013,0.63139,1.14579,0.66761,0.00761,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5028.45,1.1711,0.77901,0.00548,0.87368,0.80892,0.90008,0.63149,1.14493,0.66747,0.0076,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5982.32,1.17671,0.7818,0.0055,0.87477,0.80841,0.90036,0.63162,1.14625,0.66715,0.00761,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6991.23,1.16325,0.77069,0.00553,0.87377,0.80901,0.90024,0.63188,1.14517,0.667,0.0076,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7931.81,1.16313,0.7656,0.00532,0.87282,0.81,0.90019,0.63181,1.14557,0.66625,0.0076,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8868.36,1.16292,0.76951,0.00541,0.87159,0.81081,0.90021,0.63201,1.14532,0.66587,0.00759,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9796.96,1.16344,0.77121,0.00544,0.87155,0.81096,0.90056,0.6321,1.14562,0.66462,0.00759,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10731.2,1.15038,0.76409,0.00547,0.87,0.81288,0.90066,0.63235,1.14588,0.66369,0.00759,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11666.3,1.15685,0.7608,0.00544,0.87059,0.81222,0.90067,0.63248,1.14654,0.66268,0.0076,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12601,1.15276,0.75412,0.00532,0.87124,0.81099,0.90063,0.63259,1.14569,0.66387,0.00759,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,13576.9,1.14959,0.75638,0.00531,0.87226,0.81091,0.90076,0.63269,1.14561,0.66422,0.00759,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14505.5,1.1513,0.74877,0.00526,0.8712,0.81166,0.90081,0.6328,1.14567,0.66313,0.00759,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15436.5,1.1495,0.74979,0.00529,0.87346,0.81106,0.90105,0.63291,1.1459,0.66252,0.00759,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16365.9,1.14476,0.74873,0.00528,0.87303,0.81141,0.90114,0.6331,1.14564,0.66223,0.00758,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
